series_id,model,mae,smape
M40717,auto_theta,1032.369140,5.775874
M40717,auto_ets,302.392675,1.642931
M9061,naive,1288.888889,49.322232
M9061,seasonal_naive,2672.222222,76.597078
M9061,auto_theta,759.996515,32.911695
M9061,auto_ets,1288.888889,49.322232
M37631,naive,340.555556,3.337270
M37631,seasonal_naive,484.444444,4.788832
M37631,auto_theta,164.858797,1.603583
M37631,auto_ets,45.314970,0.435675
M14400,naive,2153.333333,16.097156
M14400,seasonal_naive,792.222222,6.677934
M14400,auto_theta,770.290215,5.969939
M14400,auto_ets,772.692549,6.109398
M43093,naive,20.277778,1.157375
M43093,seasonal_naive,40.277778,2.318035
M43093,auto_theta,23.028796,1.315541
M43093,auto_ets,22.848838,1.305185
M45915,naive,78.375440,4.372661
M45915,seasonal_naive,186.067340,10.835376
M45915,auto_theta,35.447623,1.940617
M45915,auto_ets,101.570979,5.425481
M10391,naive,481.444444,13.351971
M10391,seasonal_naive,141.744444,3.844307
M10391,auto_theta,142.914297,3.772646
M10391,auto_ets,145.451900,3.887661
M2477,naive,222.222222,4.007078
M2477,seasonal_naive,225.555556,4.111782
M2477,auto_theta,191.536809,3.548534
M2477,auto_ets,138.143823,2.473604
M41747,naive,569.283333,21.758167
M41747,seasonal_naive,689.866667,26.663202
M41747,auto_theta,777.508795,31.210835
M41747,auto_ets,943.364685,40.296708
M7569,naive,232.222222,13.482510
M7569,seasonal_naive,885.555556,40.132794
M7569,auto_theta,139.452748,8.600997
M7569,auto_ets,147.777782,9.107238
M45430,naive,552.829940,17.363393
M45430,seasonal_naive,763.570010,25.978331
M45430,auto_theta,390.319067,11.996534
M45430,auto_ets,552.829942,17.363393
M10158,naive,36.333333,2.060376
M10158,seasonal_naive,62.111111,3.559357
M10158,auto_theta,30.530904,1.730382
M10158,auto_ets,5.931563,0.334153
M24801,naive,42.783966,1.542507
M24801,seasonal_naive,70.228907,2.554679
M24801,auto_theta,36.903500,1.330585
M24801,auto_ets,15.439310,0.553451
M44781,naive,2516.675178,21.457242
M44781,seasonal_naive,2404.973177,20.415748
M44781,auto_theta,2390.344604,20.222782
M44781,auto_ets,1619.708283,13.084139
M854,naive,241.666667,5.491414
M854,seasonal_naive,209.444444,4.876887
M854,auto_theta,148.777710,3.446172
M854,auto_ets,88.529654,1.976540
M43251,naive,112.503661,10.631162
M43251,seasonal_naive,224.219850,23.246257
M43251,auto_theta,87.028019,8.438739
M43251,auto_ets,89.327338,8.634403
M12609,naive,75.277778,2.209031
M12609,seasonal_naive,107.888889,3.198302
M12609,auto_theta,37.567644,1.104018
M12609,auto_ets,11.122647,0.326946
M986,naive,32.277778,1.416745
M986,seasonal_naive,100.944444,4.529017
M986,auto_theta,41.474674,1.838981
M986,auto_ets,11.111948,0.487227
M26132,naive,31.339922,2.178688
M26132,seasonal_naive,38.481121,2.717458
M26132,auto_theta,36.600736,2.549472
M26132,auto_ets,30.861696,2.141818
M39259,naive,495.260556,5.541929
M39259,seasonal_naive,969.506111,11.264077
M39259,auto_theta,509.902659,5.725517
M39259,auto_ets,80.563487,0.876563
M18286,naive,1244.444444,30.415477
M18286,seasonal_naive,594.444444,15.977571
M18286,auto_theta,534.779152,14.740315
M18286,auto_ets,637.508648,16.897012
M24589,naive,161.772557,4.785332
M24589,seasonal_naive,95.738394,2.841519
M24589,auto_theta,54.110647,1.631042
M24589,auto_ets,54.901340,1.657207
M2711,naive,1088.888889,11.354550
M2711,seasonal_naive,511.111111,5.319481
M2711,auto_theta,606.046975,6.478116
M2711,auto_ets,317.079899,3.415870
M28213,naive,176.222222,1.780698
M28213,seasonal_naive,152.944444,1.520824
M28213,auto_theta,81.728131,0.828565
M28213,auto_ets,118.459404,1.180453
M25943,naive,1173.863278,8.287331
M25943,seasonal_naive,958.145448,6.732594
M25943,auto_theta,1011.053080,7.111092
M25943,auto_ets,647.189423,4.475335
M40019,naive,1579.444444,25.294026
M40019,seasonal_naive,1807.777778,28.259564
M40019,auto_theta,1676.479842,26.620978
M40019,auto_ets,1603.118345,25.619956
M31002,naive,1415.997222,31.065706
M31002,seasonal_naive,1082.025000,26.025066
M31002,auto_theta,1011.288310,22.494332
M31002,auto_ets,1178.545751,26.777171
M27478,naive,48.777778,1.544451
M27478,seasonal_naive,90.222222,2.803295
M27478,auto_theta,28.203918,0.888458
M27478,auto_ets,35.458767,1.119427
M36609,naive,40.555556,2.888959
M36609,seasonal_naive,57.222222,4.110741
M36609,auto_theta,36.580131,2.601621
M36609,auto_ets,60.484153,4.346604
M10677,naive,201.666667,1.214763
M10677,seasonal_naive,483.888889,2.960046
M10677,auto_theta,101.736010,0.612965
M10677,auto_ets,102.187506,0.614785
M12734,naive,21.388889,1.660352
M12734,seasonal_naive,12.611111,0.979025
M12734,auto_theta,11.816192,0.913869
M12734,auto_ets,13.865503,1.079553
M25835,naive,229.169127,3.241949
M25835,seasonal_naive,508.455608,7.362481
M25835,auto_theta,156.414774,2.200283
M25835,auto_ets,121.555246,1.681161
M1423,naive,63.888889,2.456695
M1423,seasonal_naive,31.111111,1.193316
M1423,auto_theta,20.859232,0.797258
M1423,auto_ets,41.571588,1.611151
M14274,naive,246.500000,3.148853
M14274,seasonal_naive,648.833333,8.536683
M14274,auto_theta,151.860879,1.928487
M14274,auto_ets,61.859048,0.772743
M36159,naive,1906.500000,32.536629
M36159,seasonal_naive,844.500000,13.667823
M36159,auto_theta,2290.346548,40.785377
M36159,auto_ets,2050.055033,35.550810
M30895,naive,668.500000,9.077079
M30895,seasonal_naive,803.444444,11.125495
M30895,auto_theta,600.704853,8.212332
M30895,auto_ets,587.611111,8.044921
M34094,naive,1457.190095,45.224388
M34094,seasonal_naive,1632.002219,56.227884
M34094,auto_theta,1615.922211,57.259643
M34094,auto_ets,1840.603642,70.293368
M30170,naive,107.777778,2.761379
M30170,seasonal_naive,98.888889,2.516185
M30170,auto_theta,56.549728,1.449708
M30170,auto_ets,62.948775,1.614109
M21061,naive,202.777778,10.162924
M21061,seasonal_naive,203.333333,11.469937
M21061,auto_theta,209.432433,10.377438
M21061,auto_ets,202.777772,10.162924
M2864,naive,1071.666667,8.399623
M2864,seasonal_naive,343.333333,2.941655
M2864,auto_theta,208.996594,1.659857
M2864,auto_ets,76.754472,0.577829
M47962,naive,275.555556,6.016770
M47962,seasonal_naive,587.777778,12.200132
M47962,auto_theta,236.561904,5.194434
M47962,auto_ets,179.999957,4.058656
M20089,naive,536.666667,23.730012
M20089,seasonal_naive,227.777778,10.805573
M20089,auto_theta,261.573212,12.343024
M20089,auto_ets,1031.450942,40.554295
M15704,naive,494.722222,23.184051
M15704,seasonal_naive,123.944444,5.323382
M15704,auto_theta,207.553053,7.701323
M15704,auto_ets,108.942278,4.222262
M2800,naive,306.278383,8.798191
M2800,seasonal_naive,397.224767,11.722834
M2800,auto_theta,307.646149,8.839705
M2800,auto_ets,295.250118,8.556587
M17556,naive,627.777778,48.134073
M17556,seasonal_naive,407.777778,33.511292
M17556,auto_theta,497.502091,40.567876
M17556,auto_ets,425.668997,35.131003
M3169,naive,1298.888889,10.190782
M3169,seasonal_naive,517.777778,4.300885
M3169,auto_theta,285.114229,2.284091
M3169,auto_ets,351.940374,2.841611
M8649,naive,619.777778,25.290132
M8649,seasonal_naive,983.333333,36.284263
M8649,auto_theta,257.264826,11.445314
M8649,auto_ets,392.669435,22.397129
M27326,naive,51.944444,3.261727
M27326,seasonal_naive,55.333333,3.470091
M27326,auto_theta,52.375692,3.287697
M27326,auto_ets,46.506164,2.925726
M31121,naive,144.611111,10.390186
M31121,seasonal_naive,502.000000,30.946000
M31121,auto_theta,123.939078,8.984986
M31121,auto_ets,29.384256,2.249256
M2433,naive,397.222222,7.173370
M2433,seasonal_naive,130.000000,2.379000
M2433,auto_theta,73.923553,1.313890
M2433,auto_ets,111.184066,1.964938
M41134,naive,734.545667,12.104088
M41134,seasonal_naive,485.161222,8.413938
M41134,auto_theta,450.336859,7.367186
M41134,auto_ets,340.708088,5.571477
M31081,naive,307.800000,7.728587
M31081,seasonal_naive,518.922222,13.940109
M31081,auto_theta,295.996659,7.565878
M31081,auto_ets,345.147991,8.877205
M7194,naive,994.444444,20.005863
M7194,seasonal_naive,1005.555556,19.903693
M7194,auto_theta,1173.190685,24.191833
M7194,auto_ets,994.444443,20.005863
M21216,naive,108.333333,4.271930
M21216,seasonal_naive,208.333333,7.950890
M21216,auto_theta,44.297275,1.781891
M21216,auto_ets,58.783304,2.365202
M6651,naive,1111.777778,14.248539
M6651,seasonal_naive,1453.555556,19.406966
M6651,auto_theta,1340.422552,17.660231
M6651,auto_ets,1432.205277,19.000821
M8298,naive,1300.000000,45.682047
M8298,seasonal_naive,1111.111111,38.499386
M8298,auto_theta,1219.392848,43.655835
M8298,auto_ets,837.947171,32.344456
M24871,naive,61.277344,0.752739
M24871,seasonal_naive,66.465024,0.815463
M24871,auto_theta,62.291707,0.766005
M24871,auto_ets,58.955039,0.723507
M12267,naive,120.722222,1.177770
M12267,seasonal_naive,197.444444,1.937579
M12267,auto_theta,95.014875,0.925009
M12267,auto_ets,55.504211,0.538362
M21362,naive,418.333333,24.833686
M21362,seasonal_naive,461.111111,22.991422
M21362,auto_theta,203.971509,11.452605
M21362,auto_ets,201.070478,11.267527
M27551,naive,21.777778,1.944607
M27551,seasonal_naive,18.388889,1.638970
M27551,auto_theta,28.143633,2.527752
M27551,auto_ets,21.777778,1.944607
M5764,naive,228.939973,2.638909
M5764,seasonal_naive,152.965177,1.781980
M5764,auto_theta,99.781391,1.157915
M5764,auto_ets,104.472328,1.212775
M25201,naive,157.730564,2.670236
M25201,seasonal_naive,268.048284,4.476114
M25201,auto_theta,140.236420,2.373541
M25201,auto_ets,146.183658,2.475913
M29756,naive,313.888889,3.236462
M29756,seasonal_naive,548.333333,5.847958
M29756,auto_theta,365.898404,3.884468
M29756,auto_ets,116.981800,1.201980
M26654,naive,341.666667,18.593624
M26654,seasonal_naive,531.666667,27.101683
M26654,auto_theta,323.984639,17.729918
M26654,auto_ets,159.234738,9.249311
M38360,naive,96.666667,2.016469
