series_id,model,mae,smape
M38839,catboost_standard,182.211532,1.795657
M7375,catboost_standard,635.175963,12.855247
M29388,catboost_standard,236.842082,3.642914
M41495,catboost_standard,303.937228,11.976307
M4505,catboost_standard,1049.894140,14.893385
M24565,catboost_standard,142.650735,2.530082
M43082,catboost_standard,160.542793,6.711782
M41390,catboost_standard,428.926980,6.457006
M15005,catboost_standard,622.077485,8.428422
M8593,catboost_standard,1033.750678,17.294716
M5755,catboost_standard,456.462822,12.316903
M16818,catboost_standard,424.937330,5.337083
M15385,catboost_standard,58.779218,3.733404
M45346,catboost_standard,327.290552,5.135818
M8046,catboost_standard,278.828733,29.603394
M23315,catboost_standard,36.516063,1.178346
M43146,catboost_standard,199.485086,4.839789
M38204,catboost_standard,66.519529,1.093359
M29604,catboost_standard,18.859047,1.498286
M23277,catboost_standard,84.927499,1.430181
M3752,catboost_standard,66.944029,1.138881
M33252,catboost_standard,935.479379,91.670539
M5693,catboost_standard,300.782796,7.120401
M7639,catboost_standard,411.841413,33.319439
M6537,catboost_standard,49.120665,4.321627
M33657,catboost_standard,588.447613,14.510142
M21547,catboost_standard,137.375371,5.266646
M34119,catboost_standard,858.139817,42.412741
M23557,catboost_standard,1835.373100,21.485766
M1571,catboost_standard,64.461032,3.211354
M33216,catboost_standard,939.136389,45.884406
M8421,catboost_standard,638.130794,41.443588
M31802,catboost_standard,489.785450,42.847444
M19304,catboost_standard,1350.573017,35.889820
M851,catboost_standard,221.331506,11.184377
M34969,catboost_standard,243.662368,26.563364
M38555,catboost_standard,45.808671,1.097352
M10784,catboost_standard,237.632318,4.587767
M21591,catboost_standard,165.217449,13.006913
M5730,catboost_standard,332.363363,5.847000
M13864,catboost_standard,870.099308,11.312598
M26397,catboost_standard,66.452175,2.982267
M18895,catboost_standard,673.677275,16.403292
M28850,catboost_standard,1434.866375,13.844791
M148,catboost_standard,746.845271,4.003006
M24450,catboost_standard,77.406838,1.284188
M43809,catboost_standard,552.615608,8.306789
M42467,catboost_standard,582.965737,12.109730
M41589,catboost_standard,24.769004,1.329880
M35175,catboost_standard,925.370092,12.814752
M42924,catboost_standard,524.689770,16.234640
M28580,catboost_standard,669.125170,6.766909
M17173,catboost_standard,453.419399,36.503513
M40532,catboost_standard,445.844453,5.451312
M42995,catboost_standard,400.575512,24.303919
M9956,catboost_standard,526.321586,19.558271
M24345,catboost_standard,654.203943,4.420107
M42537,catboost_standard,4037.084993,54.348059
M30261,catboost_standard,399.020968,19.463690
M8327,catboost_standard,411.363945,16.624850
M18938,catboost_standard,467.097114,42.613368
M44608,catboost_standard,43.789377,1.800581
M28207,catboost_standard,285.063027,2.878603
M19855,catboost_standard,267.680390,12.551465
M22634,catboost_standard,28.313317,0.922819
M13180,catboost_standard,32.648579,1.261235
M17657,catboost_standard,295.765361,25.996757
M38014,catboost_standard,37.080600,3.019900
M33096,catboost_standard,189.489253,26.643648
M17667,catboost_standard,1701.027068,33.159076
M38440,catboost_standard,110.757284,1.561099
M30234,catboost_standard,221.996721,10.935114
M23410,catboost_standard,252.932297,4.226562
M20756,catboost_standard,381.950486,43.009193
M47916,catboost_standard,28.643364,2.907872
M22869,catboost_standard,124.820566,4.812117
M4304,catboost_standard,617.413439,7.513249
M41137,catboost_standard,1257.876520,20.817640
M885,catboost_standard,119.493191,1.851595
M18554,catboost_standard,1533.218808,20.393300
M34114,catboost_standard,284.968863,19.413510
M36326,catboost_standard,857.604912,16.615922
M22513,catboost_standard,61.099748,2.509642
M11087,catboost_standard,24.205430,1.350770
M38166,catboost_standard,132.955588,1.488068
M36711,catboost_standard,686.729196,6.074820
M9619,catboost_standard,261.507814,37.796599
M27889,catboost_standard,226.269215,10.136693
M2609,catboost_standard,310.486641,34.291750
M8226,catboost_standard,1265.448681,31.544001
M29564,catboost_standard,43.797440,2.614207
M33114,catboost_standard,687.061401,11.363082
M45890,catboost_standard,131.082926,7.999495
M12028,catboost_standard,110.869518,3.922266
M14578,catboost_standard,453.939799,8.087608
M18393,catboost_standard,1695.528132,21.988134
M18394,catboost_standard,764.565820,16.336627
M32570,catboost_standard,1026.318632,13.536479
M40879,catboost_standard,58.696847,1.563360
M19822,catboost_standard,1392.077393,45.064879
M24670,catboost_standard,299.896996,11.641796
M36244,catboost_standard,414.983177,10.179147
M2442,catboost_standard,54.644423,2.891962
M12404,catboost_standard,35.046261,1.282287
M12754,catboost_standard,41.703144,1.618539
M29510,catboost_standard,158.805691,4.543220
M19100,catboost_standard,1210.319407,39.384110
M36643,catboost_standard,66.666407,4.300997
M12712,catboost_standard,164.080945,8.946009
M19039,catboost_standard,464.974618,14.208060
M2183,catboost_standard,111.304358,3.924580
M38074,catboost_standard,1751.243527,35.399438
M39011,catboost_standard,89.656322,8.879325
M26405,catboost_standard,54.006192,2.298977
M23424,catboost_standard,103.688641,2.452654
M25000,catboost_standard,242.463173,6.323826
M38778,catboost_standard,107.676564,1.072308
M37249,catboost_standard,827.546010,30.268232
M36925,catboost_standard,487.753506,15.485328
M5735,catboost_standard,808.987291,7.576697
M20252,catboost_standard,616.050945,16.919512
M37370,catboost_standard,50.410752,5.094082
M20820,catboost_standard,220.207851,18.634487
M25750,catboost_standard,100.314347,8.857544
M26657,catboost_standard,159.731817,14.996370
M19928,catboost_standard,772.511998,14.668920
M11016,catboost_standard,72.864666,4.052911
M29269,catboost_standard,199.638659,9.574037
M22571,catboost_standard,40.551304,2.020797
M7746,catboost_standard,3523.759013,36.195013
M22653,catboost_standard,11.563792,0.781724
M28137,catboost_standard,671.088251,6.663522
M14884,catboost_standard,602.020076,6.156289
M2955,catboost_standard,783.681431,7.765934
M36494,catboost_standard,30.857492,1.831040
M33390,catboost_standard,749.955647,43.410506
M9021,catboost_standard,1380.964464,50.940531
M27093,catboost_standard,104.401991,1.002443
M23830,catboost_standard,746.003627,11.711082
M16180,catboost_standard,799.532197,6.226399
M40947,catboost_standard,588.176549,11.321554
M31013,catboost_standard,389.706428,7.891685
M24082,catboost_standard,542.851172,15.623181
M15401,catboost_standard,641.266011,22.362355
M32772,catboost_robust,793.529965,29.096404
M39513,catboost_robust,135.812615,8.862301
M43582,catboost_robust,396.648667,11.441574
M2976,catboost_robust,417.655944,3.770804
M3378,catboost_robust,56.070785,0.906158
M3793,catboost_robust,133.321590,3.479158
M34124,catboost_robust,331.910475,12.861319
M19848,catboost_robust,851.584975,36.830924
M10422,catboost_robust,36.918127,3.335211
M28534,catboost_robust,311.972291,3.057724
M35123,catboost_robust,334.752780,15.663094
M38965,catboost_robust,89.637895,0.897379
M4832,catboost_robust,137.441087,2.498451
M26546,catboost_robust,396.903090,7.065819
M26508,catboost_robust,66.703452,1.510236
M843,catboost_robust,13.799456,1.274414
M27135,catboost_robust,10.365043,0.816768
M24472,catboost_robust,498.674117,4.949089
M41399,catboost_robust,627.897441,9.295151
M6401,catboost_robust,1273.801695,10.469304
M8727,catboost_robust,116.338021,19.828602
M19175,catboost_robust,884.386430,14.855161
M34044,catboost_robust,720.118558,17.525397
M10601,catboost_robust,561.923941,13.631136
M22156,catboost_robust,230.528516,6.045458
M13817,catboost_robust,612.462648,20.616658
M20403,catboost_robust,602.801262,51.387718
M33554,catboost_robust,61.266361,9.360483
M17448,catboost_robust,299.829232,32.046164
M1705,catboost_robust,75.392788,2.725508
M24937,catboost_robust,164.971734,3.842482
M15412,catboost_robust,1705.849372,21.833064
M9114,catboost_robust,494.419533,24.647931
M41584,catboost_robust,553.745466,5.892032
M19528,catboost_robust,183.258573,13.903270
M31381,catboost_robust,965.947111,29.435820
M37217,catboost_robust,51.026990,4.802317
M5663,catboost_robust,1354.076778,11.618477
M23337,catboost_robust,9.116473,0.546397
M15952,catboost_robust,494.304694,8.916074
M43622,catboost_robust,1366.396117,11.591146
M47799,catboost_robust,1566.637789,37.212079
M36823,catboost_robust,3060.051376,21.788835
M19842,catboost_robust,625.102991,24.131102
M3920,catboost_robust,289.930380,10.170077
M33760,catboost_robust,1552.513377,22.145550
M26741,catboost_robust,242.087782,3.090891
M11301,catboost_robust,37.451898,1.630802
M39695,catboost_robust,412.237547,5.237371
M26684,catboost_robust,916.289454,16.388354
M32983,catboost_robust,71.277415,6.315784
M34628,catboost_robust,2158.030389,30.683899
M24410,catboost_robust,131.102726,3.242179
M10445,catboost_robust,40.152491,3.878234
M27785,catboost_robust,1092.693417,7.796039
M16157,catboost_robust,293.953854,21.086892
M27832,catboost_robust,681.037352,20.085566
M45377,catboost_robust,272.907264,12.980523
M26001,catboost_robust,118.241735,2.424365
M40961,catboost_robust,5868.909178,43.346200
M5,catboost_robust,54.096838,1.239466
M6840,catboost_robust,1031.641269,13.377741
M36792,catboost_robust,92.784865,3.145775
M27368,catboost_robust,484.920494,2.418021
M11193,catboost_robust,30.154588,0.645782
M44275,catboost_robust,36.712143,19.244033
M27721,catboost_robust,4.615681,0.347832
M46313,catboost_robust,209.221770,3.335679
M40266,catboost_robust,1426.939080,16.590508
M19269,catboost_robust,549.745542,36.694138
M39188,catboost_robust,127.995457,5.448622
M40717,catboost_robust,624.540843,3.422069
M9061,catboost_robust,1884.147092,63.349379
M37631,catboost_robust,471.147308,4.652565
